title,rating,year,actors,runtime,url
Soorarai Pottru,9.1,2020,Suriya;Paresh Rawal;Aparna Balamurali;Gaurav Pareek,153 ,https://www.imdb.com//title/tt10189514/
Dara iz Jasenovca,8.8,2020,Biljana Cekic;Zlatan Vidovic;Anja Stanic;Luka Saranovic,130 ,https://www.imdb.com//title/tt10554232/
Shingeki no Kyojin: Chronicle,8.6,2020,Marina Inoue;Yui Ishikawa;Yûki Kaji;Yû Shimamura,122 ,https://www.imdb.com//title/tt12415546/
Hamilton,8.4,2020,Lin-Manuel Miranda;Phillipa Soo;Leslie Odom Jr.;Renée Elise Goldsberry,160 ,https://www.imdb.com//title/tt8503618/
The Father,8.3,2020,Anthony Hopkins;Olivia Colman;Mark Gatiss;Olivia Williams,97 ,https://www.imdb.com//title/tt10272386/
Kimetsu no Yaiba: Mugen Ressha-Hen,8.3,2020,Natsuki Hanae;Akari Kitô;Yoshitsugu Matsuoka;Hiro Shimono,117 ,https://www.imdb.com//title/tt11032374/
Dil Bechara,8.2,2020,Sushant Singh Rajput;Sanjana Sanghi;Sahil Vaid;Saswata Chatterjee,101 ,https://www.imdb.com//title/tt8110330/
Wolfwalkers,8.1,2020,Honor Kneafsey;Eva Whittaker;Sean Bean;Simon McBurney,103 ,https://www.imdb.com//title/tt5198068/
Soul,8.1,2020,Jamie Foxx;Tina Fey;Graham Norton;Rachel House,100 ,https://www.imdb.com//title/tt2948372/
Shams Al-Ma'arif,8,2020,Sohayb Godus;Baraa Alem;Ismail Alhassan;Ahmed Saddam,120 ,https://www.imdb.com//title/tt11833648/
Ayyappanum Koshiyum,8,2020,Biju Menon;Prithviraj Sukumaran;Ranjith;Anil Nedumangad,177 ,https://www.imdb.com//title/tt11322920/
Anjaam Pathiraa,8,2020,Kunchacko Boban;Jinu Joseph;Unnimaya Prasad;Sreenath Bhasi,144 ,https://www.imdb.com//title/tt10717738/
"Quo vadis, Aida?",7.9,2020,Jasna Djuricic;Izudin Bajrovic;Boris Ler;Dino Bajrovic,101 ,https://www.imdb.com//title/tt8633462/
5th Borough,7.8,2020,Steve Stanulis;Tara Reid;Lillo Brancato;Vincent Young,95 ,https://www.imdb.com//title/tt8241876/
The Trial of the Chicago 7,7.8,2020,Eddie Redmayne;Alex Sharp;Sacha Baron Cohen;Jeremy Strong,129 ,https://www.imdb.com//title/tt1070874/
C U Soon,7.8,2020,Fahadh Faasil;Roshan Mathew;Darshana Rajendran;Saiju Kurup,98 ,https://www.imdb.com//title/tt12677092/
Druk,7.8,2020,Mads Mikkelsen;Thomas Bo Larsen;Magnus Millang;Lars Ranthe,117 ,https://www.imdb.com//title/tt10288566/
Minamata,7.7,2020,Akiko Iwase;Kogarashi Wakasugi;Johnny Depp;Katherine Jenkins,115 ,https://www.imdb.com//title/tt9179096/
Kannum Kannum Kollaiyadithaal,7.7,2020,Dulquer Salmaan;Gautham Vasudev Menon;Ritu Varma;Niranjani,160 ,https://www.imdb.com//title/tt8042292/
Kumbalangi Nights,8.6,2019,Shane Nigam;Soubin Shahir;Fahadh Faasil;Sreenath Bhasi,135 ,https://www.imdb.com//title/tt8413338/
Gisaengchung,8.6,2019,Kang-ho Song;Sun-kyun Lee;Yeo-jeong Cho;Woo-sik Choi,132 ,https://www.imdb.com//title/tt6751668/
Jersey,8.6,2019,Nani;Shraddha Srinath;Sathyaraj;Harish Kalyan,157 ,https://www.imdb.com//title/tt8948790/
Asuran,8.5,2019,Dhanush;Manju Warrier;Prakash Raj;Pasupathy,141 ,https://www.imdb.com//title/tt9477520/
Kaithi,8.5,2019,Karthi;Narain;Ramana;George Maryan,145 ,https://www.imdb.com//title/tt9900782/
Little Baby,8.5,2019,Priyanshu Chatterjee;Gulnaz Siganporia;Shivani Mahajan;Ravi Khanna,105 ,https://www.imdb.com//title/tt8569206/
Super Deluxe,8.4,2019,Vijay Sethupathi;Samantha Akkineni;Fahadh Faasil;Ramya Krishnan,176 ,https://www.imdb.com//title/tt7019942/
Joker,8.4,2019,Joaquin Phoenix;Robert De Niro;Zazie Beetz;Frances Conroy,122 ,https://www.imdb.com//title/tt7286456/
Avengers: Endgame,8.4,2019,Robert Downey Jr.;Chris Evans;Mark Ruffalo;Chris Hemsworth,181 ,https://www.imdb.com//title/tt4154796/
Agent Sai Srinivasa Athreya,8.4,2019,Naveen Polishetty;Shruti Sharma;Krishneswara Rao;Suhas,148 ,https://www.imdb.com//title/tt10214826/
Cep Herkülü: Naim Süleymanoglu,8.3,2019,Hayat Van Eck;Selen Öztürk;Yetkin Dikinciler;Gürkan Uygun,141 ,https://www.imdb.com//title/tt9500372/
Uri: The Surgical Strike,8.3,2019,Vicky Kaushal;Paresh Rawal;Mohit Raina;Yami Gautam,138 ,https://www.imdb.com//title/tt8291224/
1917,8.3,2019,Dean-Charles Chapman;George MacKay;Daniel Mays;Colin Firth,119 ,https://www.imdb.com//title/tt8579674/
Chhichhore,8.3,2019,Sushant Singh Rajput;Shraddha Kapoor;Varun Sharma;Prateik,143 ,https://www.imdb.com//title/tt9052870/
Thadam,8.2,2019,Arun Vijay;Tanya Hope;Smruthi Venkat;Fefsi Vijayan,138 ,https://www.imdb.com//title/tt7822438/
Klaus,8.2,2019,Jason Schwartzman;J.K. Simmons;Rashida Jones;Will Sasso,96 ,https://www.imdb.com//title/tt4729430/
Android Kunjappan Version 5.25,8.2,2019,Soubin Shahir;Suraj Venjaramoodu;Kendy Zirdo;Saiju Kurup,140 ,https://www.imdb.com//title/tt9526826/
Miracle in Cell No. 7,8.2,2019,Aras Bulut Iynemli;Nisa Sofiya Aksongur;Deniz Baysal;Celile Toyon Uysal,132 ,https://www.imdb.com//title/tt10431500/
The Blue Elephant 2,8.2,2019,Karim Abdel Aziz;Nelly Karim;Hind Sabri;Eyad Nassar,130 ,https://www.imdb.com//title/tt10515086/
Article 15,8.2,2019,Ayushmann Khurrana;Nassar;Manoj Pahwa;Kumud Mishra,130 ,https://www.imdb.com//title/tt10324144/
Section 375,8.1,2019,Akshaye Khanna;Richa Chadha;Rahul Bhatt;Meera Chopra,124 ,https://www.imdb.com//title/tt8144834/
Portrait de la jeune fille en feu,8.1,2019,Noémie Merlant;Adèle Haenel;Luàna Bajrami;Valeria Golino,122 ,https://www.imdb.com//title/tt8613070/
Sonchiriya,8.1,2019,Sushant Singh Rajput;Bhumi Pednekar;Ashutosh Rana;Ranvir Shorey,143 ,https://www.imdb.com//title/tt8108200/
Le Mans '66,8.1,2019,Matt Damon;Christian Bale;Jon Bernthal;Caitriona Balfe,152 ,https://www.imdb.com//title/tt1950186/
Metri Shesh Va Nim,8,2019,Payman Maadi;Navid Mohammadzadeh;Parinaz Izadyar;Farhad Aslani,131 ,https://www.imdb.com//title/tt9817070/
Super 30,8,2019,Hrithik Roshan;Mrunal Thakur;Nandish Singh;Virendra Saxena,154 ,https://www.imdb.com//title/tt7485048/
Togo,8,2019,Willem Dafoe;Julianne Nicholson;Christopher Heyerdahl;Richard Dormer,113 ,https://www.imdb.com//title/tt5116302/
Marriage Story,7.9,2019,Adam Driver;Scarlett Johansson;Julia Greer;Azhy Robertson,137 ,https://www.imdb.com//title/tt7653254/
Avane Srimannarayana,7.9,2019,Rakshit Shetty;Shanvi Srivastava;Achyuth Kumar;Balaji Manohar,186 ,https://www.imdb.com//title/tt7998242/
Knives Out,7.9,2019,Daniel Craig;Chris Evans;Ana de Armas;Jamie Lee Curtis,130 ,https://www.imdb.com//title/tt8946378/
My Hero Academia - Boku no hîrô akademia THE MOVIE - Heroes: Rising - Hîrôzu: Raijingu,7.9,2019,Daiki Yamashita;Nobuhiko Okamoto;Yuka Terasaki;Tomoyo Kurosawa,104 ,https://www.imdb.com//title/tt11107074/
Gully Boy,7.9,2019,Vijay Varma;Nakul Roshan Sahdev;Ranveer Singh;Vijay Raaz,154 ,https://www.imdb.com//title/tt2395469/
Jojo Rabbit,7.9,2019,Roman Griffin Davis;Thomasin McKenzie;Scarlett Johansson;Taika Waititi,108 ,https://www.imdb.com//title/tt2584384/
A Vida Invisível,7.8,2019,Julia Stockler;Carol Duarte;Flávia Gusmão;António Fonseca,139 ,https://www.imdb.com//title/tt6390668/
Sound of Metal,7.8,2019,Riz Ahmed;Olivia Cooke;Paul Raci;Lauren Ridloff,120 ,https://www.imdb.com//title/tt5363618/
Systemsprenger,7.8,2019,Helena Zengel;Albrecht Schuch;Gabriela Maria Schmeide;Lisa Hagmeister,125 ,https://www.imdb.com//title/tt8535968/
The Gentlemen,7.8,2019,Matthew McConaughey;Charlie Hunnam;Michelle Dockery;Jeremy Strong,113 ,https://www.imdb.com//title/tt8367814/
Badla,7.8,2019,Amitabh Bachchan;Taapsee Pannu;Amrita Singh;Antonio Aakeel,118 ,https://www.imdb.com//title/tt8130968/
The Tashkent Files,7.8,2019,Shweta Basu Prasad;Mithun Chakraborty;Naseeruddin Shah;Pankaj Tripathi,134 ,https://www.imdb.com//title/tt8108268/
Little Women,7.8,2019,Saoirse Ronan;Emma Watson;Florence Pugh;Eliza Scanlen,135 ,https://www.imdb.com//title/tt3281548/
Nerkonda Paarvai,7.8,2019,Ajith Kumar;Shraddha Srinath;Abhirami Venkatachalam;Andrea Tariang,157 ,https://www.imdb.com//title/tt9675716/
The Irishman,7.8,2019,Robert De Niro;Al Pacino;Joe Pesci;Harvey Keitel,209 ,https://www.imdb.com//title/tt1302006/
Corpus Christi,7.7,2019,Bartosz Bielenia;Aleksandra Konieczna;Eliza Rycembel;Tomasz Zietek,115 ,https://www.imdb.com//title/tt8649186/
Saand Ki Aankh,7.7,2019,Taapsee Pannu;Bhumi Pednekar;Prakash Jha;Vineet Kumar Singh,146 ,https://www.imdb.com//title/tt8108206/
And Then We Danced,7.7,2019,Levan Gelbakhiani;Bachi Valishvili;Ana Javakishvili;Kakha Gogidze,113 ,https://www.imdb.com//title/tt8963708/
Toy Story 4,7.7,2019,Tom Hanks;Tim Allen;Annie Potts;Tony Hale,100 ,https://www.imdb.com//title/tt1979376/
Shaonian de ni,7.6,2019,Dongyu Zhou;Jackson Yee;Fang Yin;Ye Zhou,135 ,https://www.imdb.com//title/tt9586294/
J'ai perdu mon corps,7.6,2019,Hakim Faris;Victoire Du Bois;Patrick d'Assumçao;Alfonso Arfi,81 ,https://www.imdb.com//title/tt9806192/
Peranbu,8.9,2018,Mammootty;Sadhana;Anjali;Anjali Ameer,147 ,https://www.imdb.com//title/tt7738784/
C/o Kancharapalem,8.9,2018,Radha Bessy;Subba Rao Vepada;Praneeta Patnaik;Karthik Rathnam,152 ,https://www.imdb.com//title/tt7391996/
Pariyerum Perumal,8.8,2018,Kathir;Anandhi;Yogi Babu;Lijeesh,154 ,https://www.imdb.com//title/tt8176054/
96,8.6,2018,Vijay Sethupathi;Adithya Bhaskar;Trisha Krishnan;Gouri Kishan,158 ,https://www.imdb.com//title/tt7019842/
Vada Chennai,8.5,2018,Dhanush;Ameer Sultan;Radha Ravi;Daniel Balaji,164 ,https://www.imdb.com//title/tt5959980/
Mahanati,8.5,2018,Keerthy Suresh;Dulquer Salmaan;Samantha Akkineni;Vijay Deverakonda,177 ,https://www.imdb.com//title/tt7465992/
Capharnaüm,8.4,2018,Zain Al Rafeea;Yordanos Shiferaw;Boluwatife Treasure Bankole;Kawsar Al Haddad,126 ,https://www.imdb.com//title/tt8267604/
Rangasthalam,8.4,2018,Ram Charan;Samantha Akkineni;Aadhi;Jagapathi Babu,170 ,https://www.imdb.com//title/tt7392212/
Avengers: Infinity War,8.4,2018,Robert Downey Jr.;Chris Hemsworth;Mark Ruffalo;Chris Evans,149 ,https://www.imdb.com//title/tt4154756/
Ratsasan,8.4,2018,Vishnu Vishal;Amala Paul;Radha Ravi;Sangili Murugan,170 ,https://www.imdb.com//title/tt7060344/
Spider-Man: Een nieuw universum,8.4,2018,Shameik Moore;Jake Johnson;Hailee Steinfeld;Mahershala Ali,117 ,https://www.imdb.com//title/tt4633694/
Tumbbad,8.3,2018,Sohum Shah;Jyoti Malshe;Anita Date;Ronjini Chakraborty,104 ,https://www.imdb.com//title/tt8239946/
Bizim Için Sampiyon,8.3,2018,Ekin Koç;Farah Zeynep Abdullah;Fikret Kuskan;Sibel Tasçioglu,130 ,https://www.imdb.com//title/tt9124428/
K.G.F: Chapter 1,8.3,2018,Yash;Srinidhi Shetty;Ramachandra Raju;Archana Jois,156 ,https://www.imdb.com//title/tt7838252/
Andhadhun,8.2,2018,Ayushmann Khurrana;Tabu;Radhika Apte;Anil Dhawan,139 ,https://www.imdb.com//title/tt8108198/
Green Book,8.2,2018,Viggo Mortensen;Mahershala Ali;Linda Cardellini;Sebastian Maniscalco,130 ,https://www.imdb.com//title/tt6966692/
Juzni vetar,8.1,2018,Milos Bikovic;Miodrag Radonjic;Dragan Bjelogrlic;Nebojsa Glogovac,130 ,https://www.imdb.com//title/tt5207158/
Ahlat Agaci,8.1,2018,Dogu Demirkol;Murat Cemcir;Bennu Yildirimlar;Hazar Ergüçlü,188 ,https://www.imdb.com//title/tt6628102/
Badhaai ho,8,2018,Ayushmann Khurrana;Neena Gupta;Gajraj Rao;Sanya Malhotra,124 ,https://www.imdb.com//title/tt7725596/
Kimi no suizô o tabetai,8,2018,Mahiro Takasugi;Lynn;Yukiyo Fujii;Yuma Uchida,109 ,https://www.imdb.com//title/tt7236034/
Padman,7.9,2018,Akshay Kumar;Radhika Apte;Sonam Kapoor;Jyoti Subhash,140 ,https://www.imdb.com//title/tt7218518/
Wo bu shi yao shen,7.9,2018,Zheng Xu;Yiwei Zhou;Chuan-jun Wang;Zhuo Tan,117 ,https://www.imdb.com//title/tt7362036/
Goodachari,7.9,2018,Adivi Sesh;Sobhita Dhulipala;Jagapathi Babu;Prakash Raj,147 ,https://www.imdb.com//title/tt7758160/
Manbiki kazoku,7.9,2018,Lily Franky;Sakura Andô;Kirin Kiki;Mayu Matsuoka,121 ,https://www.imdb.com//title/tt8075192/
Bohemian Rhapsody,7.9,2018,Rami Malek;Lucy Boynton;Gwilym Lee;Ben Hardy,134 ,https://www.imdb.com//title/tt1727824/
Isle of Dogs,7.9,2018,Bryan Cranston;Koyu Rankin;Edward Norton;Bob Balaban,101 ,https://www.imdb.com//title/tt5104604/
Da xiang xidi erzuo,7.8,2018,Yu Zhang;Yuchang Peng;Uvin Wang;Zi Xi,230 ,https://www.imdb.com//title/tt8020896/
Doragon bôru chô: Burorî,7.8,2018,Masako Nozawa;Aya Hisakawa;Ryô Horikawa;Toshio Furukawa,100 ,https://www.imdb.com//title/tt7961060/
Raazi,7.8,2018,Alia Bhatt;Vicky Kaushal;Rajit Kapoor;Shishir Sharma,138 ,https://www.imdb.com//title/tt7098658/
Werk ohne Autor,7.8,2018,Tom Schilling;Sebastian Koch;Paula Beer;Saskia Rosendahl,189 ,https://www.imdb.com//title/tt5311542/
Sir,7.7,2018,Tillotama Shome;Vivek Gomber;Geetanjali Kulkarni;Rahul Vohra,99 ,https://www.imdb.com//title/tt7142506/
Sanju,7.7,2018,Ranbir Kapoor;Paresh Rawal;Manisha Koirala;Vicky Kaushal,155 ,https://www.imdb.com//title/tt6452574/
Deadpool 2,7.7,2018,Ryan Reynolds;Josh Brolin;Morena Baccarin;Julian Dennison,119 ,https://www.imdb.com//title/tt5463162/
Bharat Ane Nenu,7.7,2018,Mahesh Babu;Kiara Advani;Prakash Raj;Sarath Kumar,173 ,https://www.imdb.com//title/tt6980546/
Mission: Impossible - Fallout,7.7,2018,Tom Cruise;Henry Cavill;Ving Rhames;Simon Pegg,147 ,https://www.imdb.com//title/tt4912910/
Müslüm,7.7,2018,Timuçin Esen;Zerrin Tekindor;Ayça Bingöl;Erkan Can,136 ,https://www.imdb.com//title/tt7832124/
Ölümlü Dünya,7.7,2018,Ahmet Mümtaz Taylan;Alper Kul;Sarp Apak;Irem Sak,107 ,https://www.imdb.com//title/tt7748244/
Maghzhaye Koochake Zang Zadeh,7.7,2018,Navid Mohammadzadeh;Farhad Aslani;Farid Sajjadi Hosseini;Marjan Ettefaghian,103 ,https://www.imdb.com//title/tt7901798/
Geetha Govindam,7.7,2018,Vijay Deverakonda;Rashmika Mandanna;Subbaraju;Mouryaani,142 ,https://www.imdb.com//title/tt8590896/
Roma,7.7,2018,Yalitza Aparicio;Marina de Tavira;Diego Cortina Autrey;Carlos Peralta,135 ,https://www.imdb.com//title/tt6155172/
Aloko Udapadi,9,2017,Uddika Premarathna;Dilhani Ekanayake;Roshan Ravindra;Menaka Peiris,113 ,https://www.imdb.com//title/tt5963218/
Coco,8.4,2017,Anthony Gonzalez;Gael García Bernal;Benjamin Bratt;Alanna Ubach,105 ,https://www.imdb.com//title/tt2380307/
Ayla: The Daughter of War,8.4,2017,Çetin Tekindor;Ismail Hacioglu;Kyung-jin Lee;Kim Seol,125 ,https://www.imdb.com//title/tt6316138/
Vikram Vedha,8.3,2017,Madhavan;Vijay Sethupathi;Shraddha Srinath;Kathir,147 ,https://www.imdb.com//title/tt6148156/
Theeran adhigaaram ondru,8.3,2017,Karthi;Rakul Preet Singh;Abhimanyu Singh;Bose Venkat,157 ,https://www.imdb.com//title/tt7060460/
Thondimuthalum Dhriksakshiyum,8.2,2017,Fahadh Faasil;Suraj Venjaramoodu;Nimisha Sajayan;Alencier Ley Lopez,135 ,https://www.imdb.com//title/tt5906392/
Baahubali 2: The Conclusion,8.2,2017,Prabhas;Rana Daggubati;Anushka Shetty;Tamannaah Bhatia,167 ,https://www.imdb.com//title/tt4849438/
Take Off,8.2,2017,Parvathy Thiruvothu;Fahadh Faasil;Kunchacko Boban;Prakash Belawadi,139 ,https://www.imdb.com//title/tt6315524/
Maanagaram,8.2,2017,Sundeep Kishan;Sri;Regina Cassandra;Charlie,137 ,https://www.imdb.com//title/tt5559528/
"Three Billboards Outside Ebbing, Missouri",8.1,2017,Frances McDormand;Woody Harrelson;Sam Rockwell;Caleb Landry Jones,115 ,https://www.imdb.com//title/tt5027774/
Arjun Reddy,8.1,2017,Vijay Deverakonda;Shalini Pandey;Jia Sharma;Kanchana,182 ,https://www.imdb.com//title/tt7294534/
Logan,8.1,2017,Hugh Jackman;Patrick Stewart;Dafne Keen;Boyd Holbrook,137 ,https://www.imdb.com//title/tt3315342/
Blade Runner 2049,8,2017,Harrison Ford;Ryan Gosling;Ana de Armas;Dave Bautista,164 ,https://www.imdb.com//title/tt1856101/
Wonder,8,2017,Jacob Tremblay;Owen Wilson;Izabela Vidovic;Julia Roberts,113 ,https://www.imdb.com//title/tt2543472/
Angamaly Diaries,8,2017,Antony Varghese;Sarath Kumar;Tito Wilson;Reshma Rajan,132 ,https://www.imdb.com//title/tt6167894/
Mukkabaaz,8,2017,Vineet Kumar Singh;Jimmy Sheirgill;Zoya Hussain;Ravi Kishan,154 ,https://www.imdb.com//title/tt7180544/
Call Me by Your Name,7.9,2017,Armie Hammer;Timothée Chalamet;Michael Stuhlbarg;Amira Casar,132 ,https://www.imdb.com//title/tt5726616/
Hindi Medium,7.9,2017,Irrfan Khan;Saba Qamar;Dishita Sehgal;Deepak Dobriyal,132 ,https://www.imdb.com//title/tt5764096/
Taeksi woonjunsa,7.9,2017,Kang-ho Song;Thomas Kretschmann;Hae-Jin Yoo;Ryu Jun-Yeol,137 ,https://www.imdb.com//title/tt6878038/
Thor: Ragnarok,7.9,2017,Chris Hemsworth;Tom Hiddleston;Cate Blanchett;Mark Ruffalo,130 ,https://www.imdb.com//title/tt3501632/
Dunkirk,7.8,2017,Fionn Whitehead;Barry Keoghan;Mark Rylance;Tom Hardy,106 ,https://www.imdb.com//title/tt5013056/
Loving Vincent,7.8,2017,Douglas Booth;Jerome Flynn;Robert Gulaczyk;Helen McCrory,94 ,https://www.imdb.com//title/tt3262342/
Paddington 2,7.8,2017,Ben Whishaw;Hugh Grant;Hugh Bonneville;Sally Hawkins,103 ,https://www.imdb.com//title/tt4468740/
Tikli and Laxmi Bomb,7.8,2017,Chitrangada Chakraborty;Vibhawari Deshpande;Saharsh Kumar Shukla;Divya Unny,151 ,https://www.imdb.com//title/tt5983262/
Secret Superstar,7.8,2017,Zaira Wasim;Meher Vij;Raj Arjun;Aamir Khan,150 ,https://www.imdb.com//title/tt6108090/
Mersal,7.8,2017,Joseph Vijay;Nithya Menen;S.J. Suryah;Kajal Aggarwal,172 ,https://www.imdb.com//title/tt6485666/
Kiborgy. Heroyi ne vmyrayut,7.8,2017,Vyacheslav Dovzhenko;Roman Yasinovskiy;Andrey Isaenko;Viktor Zhdanov,112 ,https://www.imdb.com//title/tt7691572/
Tuntematon sotilas,7.8,2017,Eero Aho;Johannes Holopainen;Jussi Vatanen;Aku Hirviniemi,180 ,https://www.imdb.com//title/tt4065552/
Wind River,7.7,2017,Elizabeth Olsen;Jeremy Renner;Graham Greene;Kelsey Asbille,107 ,https://www.imdb.com//title/tt5362988/
God's Own Country,7.7,2017,Josh O'Connor;Alec Secareanu;Gemma Jones;Ian Hart,104 ,https://www.imdb.com//title/tt5635086/
L'insulte,7.7,2017,Adel Karam;Kamel El Basha;Camille Salameh;Diamand Bou Abboud,113 ,https://www.imdb.com//title/tt7048622/
The Breadwinner,7.7,2017,Saara Chaudry;Soma Chhaya;Noorin Gulamgaus;Laara Sadiq,94 ,https://www.imdb.com//title/tt3901826/
Newton,7.7,2017,Rajkummar Rao;Pankaj Tripathi;Anjali Patil;Raghuvir Yadav,106 ,https://www.imdb.com//title/tt6484982/
Aile Arasinda,7.7,2017,Engin Günaydin;Demet Evgar;Erdal Özyagcilar;Devrim Yakut,124 ,https://www.imdb.com//title/tt7642818/
Kamera o tomeru na!,7.7,2017,Takayuki Hamatsu;Yuzuki Akiyama;Harumi Shuhama;Kazuaki Nagaya,96 ,https://www.imdb.com//title/tt7914416/
Get Out,7.7,2017,Daniel Kaluuya;Allison Williams;Bradley Whitford;Catherine Keener,104 ,https://www.imdb.com//title/tt5052448/
Aynabaji,9.1,2016,Chanchal Chowdhury;Masuma Rahman Nabila;Partha Barua;Lutfur Rahman George,147 ,https://www.imdb.com//title/tt5354160/
Natsamrat,8.9,2016,Nana Patekar;Medha Manjrekar;Mrunmayee Deshpande;Sunil Barve,166 ,https://www.imdb.com//title/tt5311546/
Dag II,8.7,2016,Caglar Ertugrul;Ufuk Bayraktar;Ahu Türkpençe;Murat Serezli,135 ,https://www.imdb.com//title/tt5813916/
Aruvi,8.5,2016,Aditi Balan;Padmashri Mohammad Ali;Pradeep Anthony;Arnold,130 ,https://www.imdb.com//title/tt5867800/
Dangal,8.4,2016,Aamir Khan;Sakshi Tanwar;Fatima Sana Shaikh;Sanya Malhotra,161 ,https://www.imdb.com//title/tt5074352/
Kimi no na wa.,8.4,2016,Ryûnosuke Kamiki;Mone Kamishiraishi;Ryô Narita;Aoi Yûki,106 ,https://www.imdb.com//title/tt5311514/
Dhuruvangal Pathinaaru,8.3,2016,Rahman;Prakash Raghavan;Sharath Kumar;Santhosh Krishna,105 ,https://www.imdb.com//title/tt6380520/
Kirik Party,8.3,2016,Rakshit Shetty;Rashmika Mandanna;Samyuktha Hegde;Achyuth Kumar,159 ,https://www.imdb.com//title/tt6054758/
Kshanam,8.3,2016,Adivi Sesh;Adah Sharma;Anasuya Bharadwaj;Satyadev Kancharana,110 ,https://www.imdb.com//title/tt5504168/
Sairat,8.3,2016,Rinku Rajguru;Akash Thosar;Arbaz Shaikh;Tanaji Galgunde,174 ,https://www.imdb.com//title/tt5312232/
Maheshinte Prathikaaram,8.3,2016,Fahadh Faasil;Aparna Balamurali;Soubin Shahir;Alencier Ley Lopez,120 ,https://www.imdb.com//title/tt4851630/
Abad va yek rooz,8.2,2016,Payman Maadi;Navid Mohammadzadeh;Parinaz Izadyar;Shabnam Moghadami,112 ,https://www.imdb.com//title/tt5460658/
Pelli Choopulu,8.2,2016,Abhay Bethiganti;Keshav Deepak;Vijay Deverakonda;Anish Kuruvilla,125 ,https://www.imdb.com//title/tt5824826/
Koe no katachi,8.2,2016,Miyu Irino;Saori Hayami;Aoi Yûki;Kenshô Ono,130 ,https://www.imdb.com//title/tt5323662/
Pink,8.1,2016,Taapsee Pannu;Amitabh Bachchan;Kirti Kulhari;Andrea Tariang,136 ,https://www.imdb.com//title/tt5571734/
Ah-ga-ssi,8.1,2016,Kim Min-hee;Ha Jung-woo;Cho Jin-woong;Moon So-ri,145 ,https://www.imdb.com//title/tt4016934/
Hacksaw Ridge,8.1,2016,Andrew Garfield;Sam Worthington;Luke Bracey;Teresa Palmer,139 ,https://www.imdb.com//title/tt2119532/
Contratiempo,8.1,2016,Mario Casas;Ana Wagener;Jose Coronado;Bárbara Lennie,106 ,https://www.imdb.com//title/tt4857264/
Airlift,8,2016,Akshay Kumar;Nimrat Kaur;Kumud Mishra;Prakash Belawadi,130 ,https://www.imdb.com//title/tt4387040/
