title,rating,year,actors,runtime,url
All Quiet on the Western Front,8.1,1930,Lew Ayres;Louis Wolheim;John Wray;Arnold Lucy,152,https://www.imdb.com//title/tt0020629/
Der blaue Engel,7.7,1930,Emil Jannings;Marlene Dietrich;Kurt Gerron;Rosa Valetti,104,https://www.imdb.com//title/tt0020697/
Animal Crackers,7.5,1930,Groucho Marx;Harpo Marx;Chico Marx;The Marx Brothers,97,https://www.imdb.com//title/tt0020640/
City Lights,8.5,1931,Charles Chaplin;Virginia Cherrill;Florence Lee;Harry Myers,87,https://www.imdb.com//title/tt0021749/
M - Eine Stadt sucht einen Mörder,8.3,1931,Peter Lorre;Ellen Widmann;Inge Landgut;Otto Wernicke,117,https://www.imdb.com//title/tt0022100/
Frankenstein,7.8,1931,Colin Clive;Mae Clarke;Boris Karloff;John Boles,70,https://www.imdb.com//title/tt0021884/
Ik ben een vluchteling,8.2,1932,Paul Muni;Glenda Farrell;Helen Vinson;Noel Francis,92,https://www.imdb.com//title/tt0023042/
Otona no miru ehon - Umarete wa mita keredo,8.0,1932,Tatsuo Saitô;Tomio Aoki;Mitsuko Yoshikawa;Hideo Sugawara,100,https://www.imdb.com//title/tt0023634/
Trouble in Paradise (De firma Adam & Eva),8.0,1932,Miriam Hopkins;Kay Francis;Herbert Marshall;Charles Ruggles,83,https://www.imdb.com//title/tt0023622/
Das Testament des Dr. Mabuse,8.0,1933,Rudolf Klein-Rogge;Otto Wernicke;Thomy Bourdelle;Gustav Diessl,122,https://www.imdb.com//title/tt0023563/
King Kong,7.9,1933,Fay Wray;Robert Armstrong;Bruce Cabot;Frank Reicher,100,https://www.imdb.com//title/tt0024216/
De dictator,7.8,1933,Groucho Marx;Harpo Marx;Chico Marx;Zeppo Marx,69,https://www.imdb.com//title/tt0023969/
Het gebeurde op 'n avond,8.1,1934,Clark Gable;Claudette Colbert;Walter Connolly;Roscoe Karns,105,https://www.imdb.com//title/tt0025316/
The Thin Man,8.0,1934,William Powell;Myrna Loy;Maureen O'Sullivan;Nat Pendleton,91,https://www.imdb.com//title/tt0025878/
L'Atalante,7.8,1934,Dita Parlo;Jean Dasté;Gilles Margaritis;Louis Lefebvre,89,https://www.imdb.com//title/tt0024844/
A Night at the Opera,7.9,1935,Groucho Marx;Chico Marx;Harpo Marx;Kitty Carlisle,96,https://www.imdb.com//title/tt0026778/
A Tale of Two Cities,7.8,1935,Ronald Colman;Elizabeth Allan;Edna May Oliver;Reginald Owen,128,https://www.imdb.com//title/tt0027075/
Bride of Frankenstein,7.8,1935,Boris Karloff;Elsa Lanchester;Colin Clive;Valerie Hobson,75,https://www.imdb.com//title/tt0026138/
Modern Times,8.5,1936,Charles Chaplin;Paulette Goddard;Henry Bergman;Tiny Sandford,87,https://www.imdb.com//title/tt0027977/
My Man Godfrey,8.0,1936,William Powell;Carole Lombard;Alice Brady;Gail Patrick,94,https://www.imdb.com//title/tt0028010/
Fury,7.9,1936,Sylvia Sidney;Spencer Tracy;Walter Abel;Bruce Cabot,92,https://www.imdb.com//title/tt0027652/
Make Way for Tomorrow,8.2,1937,Victor Moore;Beulah Bondi;Fay Bainter;Thomas Mitchell,91,https://www.imdb.com//title/tt0029192/
La Grande Illusion,8.1,1937,Jean Gabin;Dita Parlo;Pierre Fresnay;Erich von Stroheim,113,https://www.imdb.com//title/tt0028950/
