title,rating,year,actors,runtime,url
Hababam Sinifi,9.3,1975,Kemal Sunal;Münir Özkul;Halit Akçatepe;Tarik Akan,87 ,https://www.imdb.com//title/tt0252487/
The Shawshank Redemption,9.3,1994,Tim Robbins;Morgan Freeman;Bob Gunton;William Sadler,142 ,https://www.imdb.com//title/tt0111161/
The Godfather,9.2,1972,Marlon Brando;Al Pacino;James Caan;Diane Keaton,175 ,https://www.imdb.com//title/tt0068646/
Aynabaji,9.1,2016,Chanchal Chowdhury;Masuma Rahman Nabila;Partha Barua;Lutfur Rahman George,147 ,https://www.imdb.com//title/tt5354160/
Aloko Udapadi,9,2017,Bharatha Hettiarachchi;Uddika Premarathna;Dilhani Ekanayake;Roshan Ravindra;Menaka Peiris,113 ,https://www.imdb.com//title/tt5963218/
The Dark Knight,9,2008,Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine,152 ,https://www.imdb.com//title/tt0468569/
Tosun Pasa,9,1976,Kemal Sunal;Müjde Ar;Adile Nasit;Sener Sen,90 ,https://www.imdb.com//title/tt0253828/
Al-risâlah,9,1976,Abdallah Gheith;Mona Wassef;Hamdy Gheith;Ali Achmed Taram,207 ,https://www.imdb.com//title/tt0075143/
The Godfather: Part II,9,1974,Al Pacino;Robert De Niro;Robert Duvall;Diane Keaton,202 ,https://www.imdb.com//title/tt0071562/
De 12 gezworenen,9,1957,Henry Fonda;Lee J. Cobb;Martin Balsam;John Fiedler,96 ,https://www.imdb.com//title/tt0050083/
The Lord of the Rings: The Return of the King,8.9,2003,Elijah Wood;Viggo Mortensen;Ian McKellen;Orlando Bloom,201 ,https://www.imdb.com//title/tt0167260/
Ko to tamo peva,8.9,1980,Pavle Vuisic;Dragan Nikolic;Danilo 'Bata' Stojkovic;Aleksandar Bercek,86 ,https://www.imdb.com//title/tt0076276/
Maratonci trce pocasni krug,8.9,1982,Bogdan Diklic;Danilo 'Bata' Stojkovic;Pavle Vuisic;Mija Aleksic,92 ,https://www.imdb.com//title/tt0084302/
Balkanski spijun,8.9,1984,Bozidar 'Bota' Nikolic;Danilo 'Bata' Stojkovic;Bora Todorovic;Mira Banjac;Sonja Savic,95 ,https://www.imdb.com//title/tt0086935/
Schindler's List,8.9,1993,Liam Neeson;Ralph Fiennes;Ben Kingsley;Caroline Goodall,195 ,https://www.imdb.com//title/tt0108052/
Pulp Fiction,8.9,1994,John Travolta;Uma Thurman;Samuel L. Jackson;Bruce Willis,154 ,https://www.imdb.com//title/tt0110912/
Süt Kardesler,8.9,1976,Kemal Sunal;Sener Sen;Halit Akçatepe;Hale Soygazi,80 ,https://www.imdb.com//title/tt0253779/
Hababam Sinifi Sinifta Kaldi,8.9,1976,Kemal Sunal;Münir Özkul;Semra Özdamar;Adile Nasit,91 ,https://www.imdb.com//title/tt0252488/
Love on a Leash,8.9,2011,Gloria Winship Ayon;Shane Ayon;Jana Camp;Stephen Kramer Glickman,90 ,https://www.imdb.com//title/tt2185022/
Natsamrat,8.9,2016,Nana Patekar;Medha Manjrekar;Mrunmayee Deshpande;Sunil Barve,166 ,https://www.imdb.com//title/tt5311546/
C/o Kancharapalem,8.9,2018,Radha Bessy;Subba Rao Vepada;Praneeta Patnaik;Karthik Rathnam,152 ,https://www.imdb.com//title/tt7391996/
